"Name","PowerState","Notes","Guest","NumCpu","CoresPerSocket","MemoryMB","MemoryGB","VMHostId","VMHost","VApp","FolderId","Folder","ResourcePoolId","ResourcePool","HARestartPriority","HAIsolationResponse","DrsAutomationLevel","VMSwapfilePolicy","VMResourceConfiguration","Version","HardwareVersion","PersistentId","GuestId","UsedSpaceGB","ProvisionedSpaceGB","DatastoreIdList","CreateDate","SEVEnabled","BootDelayMillisecond","MigrationEncryption","MemoryHotAddEnabled","MemoryHotAddIncrement","MemoryHotAddLimit","CpuHotAddEnabled","CpuHotRemoveEnabled","ExtensionData","CustomFields","Id","Uid"
"LCFRFI01 Records Center RFID Server_replica","PoweredOff","Records Center
ITG Contact - Shawn Salyers
Last backup: [5/17/2025 12:04:26 AM]; Veeam server: [LC2PVM-VEEAM]; Job: [Prod 12 am Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","LCFRFI01 Records Center RFID Server_replica:Microsoft Windows Server 2008 R2 (64-bit)","1","1","3072","3","HostSystem-host-2254","lc2psv-esxi1.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/1000 MemShares:Normal/30720","v11","vmx-11","5032a236-614e-0347-1cc0-3473348a0e85","windows7Server64Guest","65.630129040218889713287353516","149.53227356355637311935424805","System.String[]","1/1/1970 12:00:00 AM","False","0","Opportunistic","False",,,"False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-55453","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-55453/"
"CAD-PRI-ARC1_replica","PoweredOff","Windows Server 2016 Standard
SQL 2016 Enterprise
Microsoft Updates - May 2018
Last backup: [7/10/2024 1:33:30 PM]; Veeam server: [Veeam]; Job: [LC1PVM Missing Tag Catch All Backup]; Repository: [veeamproxy02.lee-county-fl.gov]","CAD-PRI-ARC1_replica:Microsoft Windows 10 (64-bit)","8","2","65536","64","HostSystem-host-20201","lc2psv-esxi8.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/655360","v14","vmx-14","5032b417-73af-92fe-7b96-67c6a616c66f","windows9_64Guest","104.26860325597226619720458984","3139.1215687114745378494262695","System.String[]","1/1/1970 12:00:00 AM","False","0","Opportunistic","False",,,"False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-330192","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-330192/"
"LCFSQL06 Kronos Database Server_replica","PoweredOff","Last backup: [6/8/2025 3:01:07 PM]; Veeam server: [LC2PVM-VEEAM]; Job: [EOC Catch All Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","LCFSQL06 Kronos Database Server_replica:Microsoft Windows Server 2016 (64-bit)","6","6","24576","24","HostSystem-host-1583","lc2psv-esxi3.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/6000 MemShares:Normal/245760","v11","vmx-11","503289c0-8b30-8403-e417-e72c7c386cd4","windows9Server64Guest","295.51861107256263494491577148","920.3876480422914028167724609","System.String[]","1/1/1970 12:00:00 AM","False","0","Opportunistic","False",,,"False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-329797","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-329797/"
"LCFVSI02 Parks VSI WebTrac and VIC server_CDP","PoweredOff","Last backup: [6/10/2025 3:31:47 AM]; Veeam server: [LC2PVM-VEEAM]; Job: [Prod  3am Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","LCFVSI02 Parks VSI WebTrac and VIC server_CDP:Microsoft Windows Server 2016 (64-bit)","4","4","8192","8","HostSystem-host-20198","lc2psv-esxi7.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/81920","v11","vmx-11","5032794a-7299-51ea-e2d3-3fc656e57692","windows9Server64Guest","106.72853085026144981384277344","265.57658269349485635757446289","System.String[]","1/1/1970 12:00:00 AM","False","0","Opportunistic","True",,,"True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-326835","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-326835/"
"LCFOPW01 Solid Waste Fuel System Server_replica","PoweredOff","Last backup: [6/9/2025 4:09:10 AM]; Veeam server: [LC2PVM-VEEAM]; Job: [Prod  3am Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","LCFOPW01 Solid Waste Fuel System Server_replica:Microsoft Windows Server 2016 (64-bit)","4","1","12288","12","HostSystem-host-1578","lc2psv-esxi2.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/122880","v11","vmx-11","50329dae-5eb8-e30b-5854-dc4769c06545","windows9Server64Guest","108.81859066523611545562744141","271.68662803620100021362304688","System.String[]","1/1/1970 12:00:00 AM","False","0","Opportunistic","False",,,"False","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-18419","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-18419/"
"LC1PVM-SQLSRVR1_CDP","PoweredOff","Last backup: [6/8/2025 4:11:57 PM]; Veeam server: [LC2PVM-VEEAM]; Job: [EOC Catch All Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","LC1PVM-SQLSRVR1_CDP:Microsoft Windows Server 2016 (64-bit)","6","2","12288","12","HostSystem-host-8716","lc2psv-esxi5.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/6000 MemShares:Normal/122880","Unknown","vmx-21","50329e8b-cce6-ef9a-db6f-c70bd16d45ab","windows9Server64Guest","43.597927284426987171173095703","240.87377963401377201080322265","System.String[]","8/21/2024 4:51:27 PM","False","0","Opportunistic","True",,,"True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-330777","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-330777/"
"LCFGENWTCH01 GenWatch DB Server_CDP","PoweredOff","Last backup: [6/8/2025 2:44:40 PM]; Veeam server: [LC2PVM-VEEAM]; Job: [EOC Catch All Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","LCFGENWTCH01 GenWatch DB Server_CDP:Microsoft Windows Server 2016 (64-bit)","8","1","16384","16","HostSystem-host-2254","lc2psv-esxi1.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/163840","v14","vmx-14","5032ed98-f7b9-e7e4-311a-e893f03fa4fa","windows9Server64Guest","370.16825663205236196517944336","997.0412825709208846092224121","System.String[]","1/11/2022 8:02:36 PM","False","0","Opportunistic","True",,,"True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-330786","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-330786/"
"VeeamO365_replica","PoweredOff","Last backup: [6/8/2025 2:16:00 PM]; Veeam server: [LC2PVM-VEEAM]; Job: [EOC Catch All Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","VeeamO365_replica:Microsoft Windows Server 2016 (64-bit)","12","4","24576","24","HostSystem-host-8716","lc2psv-esxi5.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/12000 MemShares:Normal/245760","v11","vmx-11","5032d139-714f-6986-5b5c-6f032f7bf19b","windows9Server64Guest","111.13201589323580265045166016","436.01576753240078687667846680","System.String[]","6/10/2022 6:58:15 PM","False","0","Opportunistic","True",,,"True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-330249","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-330249/"
"Automation_CDP","PoweredOff","Last backup: [6/10/2025 12:11:28 AM]; Veeam server: [LC2PVM-VEEAM]; Job: [Prod 12 am Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","Automation_CDP:Microsoft Windows Server 2016 (64-bit)","2","1","24576","24","HostSystem-host-8716","lc2psv-esxi5.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","v11","vmx-11","5032e35b-8a6e-c02a-b002-63f1b704624b","windows9Server64Guest","396.14933106116950511932373047","1021.0134544530883431434631348","System.String[]","5/23/2022 4:50:38 PM","False","0","Opportunistic","True",,,"True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-212816","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-212816/"
"LC1PVM-PVIEW PATHSOLUTIONS TOTALVIEW_replica","PoweredOff","Last backup: [6/9/2025 12:26:55 AM]; Veeam server: [LC2PVM-VEEAM]; Job: [Prod 12 am Backup]; Repository: [veeamproxy01.lee-county-fl.gov]","LC1PVM-PVIEW PATHSOLUTIONS TOTALVIEW_replica:Microsoft Windows Server 2016 (64-bit)","6","2","16384","16","HostSystem-host-8714","lc2psv-esxi4.lee-county-fl.gov",,"Folder-group-v1007","vm","ResourcePool-resgroup-1592","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/6000 MemShares:Normal/163840","Unknown","vmx-21","5032d9e1-d59c-85cc-c11f-c9f82c04fe6e","windows9Server64Guest","6.6245567565783858299255371094","322.90231329854577779769897461","System.String[]","7/5/2024 4:49:02 PM","False","0","Opportunistic","True",,,"True","False","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-330603","/VIServer=lee-county-fl\its-20455@lc1pvm-vcenter.lee-county-fl.gov:443/VirtualMachine=VirtualMachine-vm-330603/"
